Latitudine,Longitudine
39.4476112,-0.3268357
39.4476629,-0.3267713
39.4477147,-0.3266935
39.4477707,-0.3266332
39.4478514,-0.3265863
39.4479291,-0.3265849
39.4480233,-0.3265983
39.4481165,-0.3266506
39.4481994,-0.3267552
39.4482584,-0.3268786
39.4483351,-0.326951
39.4484158,-0.3270208
39.4484873,-0.3270744
39.4485722,-0.327116
39.4486685,-0.3271576
39.4487462,-0.3271978
39.4488342,-0.32723
39.4489253,-0.3272649
39.4490248,-0.327297
39.449118,-0.3273413
39.449206,-0.3273829
39.4492909,-0.3274111
39.4493789,-0.3274527
39.4494711,-0.3274849
39.4495653,-0.3275157
39.4496429,-0.3275357
39.4497196,-0.3275626
39.4497983,-0.3275907
39.4498842,-0.3276283
39.4499754,-0.3276618
39.4500582,-0.3276886
39.4501411,-0.3277155
39.4502156,-0.3277409
39.4503088,-0.3277718
39.4503927,-0.3277999
39.4504869,-0.3278294
39.4505832,-0.327863
39.4506816,-0.3278952
39.4507759,-0.3279273
39.4508548,-0.3279518
39.4509418,-0.3279827
39.4510185,-0.328031
39.4510868,-0.3280846
39.4511603,-0.3281154
39.4512546,-0.3281584
39.4513426,-0.3281932
39.4514265,-0.3282254
39.4515072,-0.3282576
39.4515849,-0.3282858
39.4516708,-0.328318
39.4517506,-0.3283528
39.4518293,-0.3283864
39.4519038,-0.3284199
39.4519794,-0.328448
39.4520706,-0.3284816
39.4521555,-0.3285138
39.4522435,-0.3285419
39.4523315,-0.3285701
39.4524082,-0.3285929
39.4524858,-0.3286184
39.4525676,-0.3286438
39.4526327,-0.3286716
39.4527042,-0.3286985
39.4527767,-0.3287226
39.4528761,-0.3287548
39.4529703,-0.3287883
39.4530749,-0.3288205
39.4531805,-0.3288527
39.453282,-0.3288876
39.4533835,-0.328909
39.4534736,-0.328909
39.453574,-0.328909
39.4536672,-0.3289077
39.4537697,-0.328909
39.4538764,-0.328909
39.4539903,-0.3289036
39.4541011,-0.3288795
39.4542067,-0.3288513
39.4543123,-0.3287964
39.4544076,-0.328732
39.4545008,-0.3286743
39.4545919,-0.3286006
39.4546665,-0.3285362
39.4547431,-0.3284678
39.4548115,-0.3284007
39.4548808,-0.3283203
39.4549533,-0.3282478
39.4550186,-0.3281754
39.4550879,-0.328107
39.4551501,-0.3280373
39.4552194,-0.3279608
39.4552795,-0.3279005
39.4553437,-0.3278294
39.4554089,-0.3277583
39.455469,-0.3276886
39.4555363,-0.3276162
39.4555995,-0.3275438
39.4556585,-0.3274713
39.4557217,-0.327411
39.4557848,-0.3273359
39.4558459,-0.3272595
39.4559184,-0.3271803
39.4559826,-0.3271092
39.4560468,-0.3270341
39.456107,-0.3269661
39.4561691,-0.326895
39.4562354,-0.3268239
39.4562996,-0.3267488
39.4563607,-0.326675
39.4564373,-0.3265999
39.4565026,-0.3265289
39.4565688,-0.3264511
39.456633,-0.3263787
39.4566972,-0.3263103
39.4567625,-0.3262338
39.4568267,-0.3261627
39.4568929,-0.3260943
39.4569613,-0.3260219
39.4570327,-0.3259468
39.4571021,-0.3258717
39.4571746,-0.325802
39.4572491,-0.3257202
39.4573196,-0.3256451
39.4573941,-0.3255659
39.4574625,-0.3254882
39.4575391,-0.325409
39.4576033,-0.3253487
39.4576706,-0.3252736
39.4577337,-0.3252038
39.4578139,-0.3251285
39.4578978,-0.3250453
39.4579744,-0.3249595
39.4580583,-0.3248696
39.4581359,-0.3247878
39.4582198,-0.3247074
39.4582975,-0.3246282
39.4583772,-0.3245478
39.4584538,-0.324474
39.4585274,-0.3243937
39.4585967,-0.3243267
39.4586692,-0.3242489
39.4587479,-0.3241711
39.4588308,-0.3240893
39.4589032,-0.3240223
39.458979,-0.3239436
39.4590567,-0.3238671
39.4591302,-0.3237934
39.4591975,-0.323725
39.4592659,-0.3236539
